,Reduction,MC_Kern,MC_Mojave,MC_Antelope,MC_Ventura
1,0,-2.494849936,6.85424315,4.108858754,-20.81259914
2,1,1.289607449,21.14884363,-14.88484657,9.167046277
3,2,10.24945681,-21.90326919,14.1525293,12.336578
4,3,14.2215888,32.43669493,7.483757221,-60.07190025
5,4,25.41158386,49.49604231,10.9059111,-2.38256707
6,5,22.37541862,16.76256286,20.36616331,-16.21504822
7,6,43.44094949,10.09583691,10.97592069,49.40957036
8,7,10.42746815,18.84562709,15.81034064,67.83690834
9,8,16.5434021,-5.062203216,32.18026437,26.31985032
10,9,31.90987414,59.69800812,40.49682661,-10.48041014
11,10,2.029601922,18.14966849,7.322849081,48.48091291
12,11,19.00914263,36.50998739,46.32632722,-2.868285047
13,12,45.0980215,3.620765978,45.14495449,49.90482562
14,13,15.74817177,22.09756735,48.42281561,-13.3248771
15,14,46.63460708,30.67013533,78.43979409,0.693494583
16,15,22.91114121,83.00295395,83.76693106,76.06933465
17,16,64.37632765,67.37439639,38.32241534,21.10577727
18,17,50.98337155,73.94194828,65.1968358,-26.30313639
19,18,45.62977398,98.57402844,42.97601966,95.04639328
20,19,33.89479124,90.14266113,42.3887106,7.437580983
21,20,24.95699755,117.7277921,30.13786028,-1.545591052
22,21,74.20482534,48.15154249,62.87903343,-12.1344068
23,22,45.44214113,90.27685312,82.16140723,-23.10142024
24,23,46.21505468,91.14623281,43.14158673,92.11063737
25,24,69.15013984,55.00615419,133.665783,67.57589519
26,25,50.6400571,69.81667812,91.30631042,70.32680591
27,26,64.27933222,100.6778602,61.61062809,68.15030627
28,27,50.34873107,87.3939835,-1.13029041,61.29714065
29,28,97.06217355,94.86110152,87.77463723,-5.394024243
30,29,68.65245716,134.6973729,43.29999099,5.741483893
31,30,44.51191525,131.0214562,77.80655739,73.70346897
32,31,84.3725081,141.6416021,137.1823599,77.45612252
33,32,69.85179978,114.4121184,122.5176571,28.58499991
34,33,70.3294955,89.94968766,54.49741867,68.01776286
35,34,82.9349222,134.9401677,91.54245253,83.95573231
36,35,77.12659358,169.8766668,113.7063715,78.35805872
37,36,82.47857219,170.9609532,88.28749997,67.23007859
38,37,73.83129169,162.2250172,99.77441985,84.60616317
39,38,71.39623174,131.5715477,113.9115048,24.70229103
40,39,57.71734651,140.9359794,82.0962477,112.2861248
41,40,72.34465688,126.1233768,110.3586527,9.089102285
42,41,117.9542396,144.4622902,151.7397914,58.394191
43,42,98.10535967,169.1315863,116.1981638,34.75333709
44,43,95.64496644,154.3849246,147.3114199,79.36262105
45,44,120.2187788,200.6793273,125.9977849,108.6858703
46,45,130.0164074,148.9797597,147.0839807,100.1395836
47,46,107.6270352,168.8042198,77.65402656,47.03814836
48,47,106.9454179,146.8499321,148.4708949,37.2160733
49,48,80.2256529,205.3010194,136.1528593,84.27438518
50,49,102.0932951,151.7904876,85.12913612,165.0478877
51,50,119.0659576,153.9197709,179.2279481,37.42453486
52,51,92.85497337,193.492851,144.8466747,145.3887391
53,52,145.4921734,210.398728,173.9939753,93.75188043
54,53,115.5237978,221.7679218,145.8988855,68.874724
55,54,132.0262269,205.9826008,175.4678531,100.8478314
56,55,129.7751833,212.999752,152.1728576,153.9362329
57,56,125.7941975,202.594777,203.2506534,82.8705471
58,57,123.9226849,197.4588383,148.3971467,163.8524375
59,58,147.8981091,252.0417083,176.146943,72.52313544
60,59,132.9864766,223.2747826,181.041238,82.21090595
61,60,120.8194043,200.0495048,169.7433839,125.480669
62,61,137.381292,243.0595764,156.8058589,101.07913
63,62,158.2205996,263.7192958,144.5643015,137.3945599
64,63,141.2515163,233.1011767,171.2398414,155.0177138
65,64,157.2638333,198.3608341,177.7736305,107.5882568
66,65,144.5544247,224.7706322,118.9353146,137.7968916
67,66,175.1986665,286.3469927,185.7641837,82.66439489
68,67,156.5227277,243.2209079,186.6013206,113.1615437
69,68,163.0870965,260.4680259,172.8888326,175.1041171
70,69,179.9080832,247.7272049,213.1443892,153.9765197
71,70,191.074502,252.0913186,260.110066,138.1962687
72,71,190.7580547,259.6038711,159.5335061,131.7004423
73,72,170.2289262,274.2881744,207.1361903,156.7847439
74,73,173.5575404,294.3241975,245.1938571,106.9178909
75,74,151.5277421,269.7810275,188.6345551,106.6546271
76,75,168.3624536,321.4395936,260.7272084,126.0069189
77,76,119.1253536,295.1204688,206.929288,84.61969055
78,77,174.4644601,258.7809631,196.0699449,95.79837649
79,78,204.4778435,313.2408279,183.3665778,131.3000179
80,79,174.2966516,315.3522085,209.6049649,160.4988833
81,80,189.2684643,275.5558468,260.5996124,168.9742492
82,81,181.0024913,312.0260585,247.8208345,139.492142
83,82,161.6416581,320.5581023,212.0394682,154.1904548
84,83,231.1212841,301.1038635,252.5945581,142.1164484
85,84,172.0317046,359.0309685,260.1834443,150.4681146
86,85,188.8536798,342.113961,268.9352741,149.5784463
87,86,221.8091986,302.5711893,221.0749983,173.3656618
88,87,212.4160138,348.5299165,233.1714479,131.1085066
89,88,197.9186156,322.253893,254.611931,211.6118707
90,89,212.6755212,363.4206388,245.842692,117.1607821
91,90,212.6325009,325.5864371,226.0733475,135.3070472
92,91,214.7926704,378.0870086,252.407063,152.3951334
93,92,198.6314333,360.1625755,259.6005194,158.7130211
94,93,203.4715358,325.8870737,247.4617597,203.3363642
95,94,224.7784452,348.0201965,210.9109641,229.2393497
96,95,210.7501333,337.0423122,265.0134123,192.0967602
97,96,230.8166459,355.1946191,226.2270903,168.6548737
98,97,197.1974866,330.9613054,289.5068245,166.8424819
99,98,215.5436909,432.5849328,313.9121402,181.3862889
100,99,276.0076216,353.4226505,299.4793168,156.9727561
101,100,240.6826708,387.0488799,289.155021,199.4757574
102,101,219.1148668,375.9721765,284.9019577,155.3907099
103,102,241.2317718,399.4825939,257.2054806,136.0574907
104,103,244.6414845,379.4999602,277.0959835,241.450248
105,104,229.2524313,398.4018504,270.3260822,167.1262947
